hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,T_internal_C
23477,978.2083333333334,13.605904774487913,14.089417145877098,17.641820419193518,2.0,-42183.31416491604,-1772.7975605357158,75.0,-43881.11172545175,18.0
23478,978.25,14.899999999996883,14.39999999999925,17.64067584924984,2.0,-29760.000000029926,-1632.0000000003397,75.0,-31317.000000030264,18.0
23479,978.2916666666666,16.194095225510456,14.710582854122508,17.639528814695673,2.0,-17336.685835099626,-1491.2024394644632,75.0,-18752.888274564088,18.0
23480,978.3333333333334,17.39999999999885,14.999999999999723,17.638379316121124,2.0,-5760.00000001103,-1360.0000000001255,75.0,-7045.000000011156,18.0
23481,978.375,18.43553390593243,15.248528137423783,17.637227354117563,2.0,4181.125496951336,-1247.3339110345519,75.0,3008.791585916784,18.00115655317358
23482,978.4166666666666,19.23012701892015,15.439230484540836,17.636072929277606,2.0,11798.116471167077,-1161.406484446844,75.0,10711.709986720234,18.005274040817984
23483,978.4583333333334,19.72962913144569,15.559110991546966,17.6349160421952,2.0,16553.808870025987,-1108.9272490028613,75.0,15519.881621023125,18.01123974759089
23484,978.5,19.9,15.599999999999998,17.6337566934655,2.0,18132.098423127456,-1093.095352241204,75.0,17114.00307088625,18.017818220708442
23485,978.5416666666666,19.729629131445698,15.559110991546968,17.63259488368494,2.0,16433.38474307766,-1114.6139438865353,75.0,15393.770799191123,18.023735451584283
23486,978.5833333333334,19.230127018922442,15.439230484541385,17.631430613451226,2.0,11581.359046446323,-1171.6422517261137,75.0,10484.716794720209,18.02776568503075
23487,978.625,18.43553390593567,15.248528137424561,17.63026388336333,2.0,3914.5749206872324,-1259.9210215814728,75.0,2729.6538991057596,18.028814940118593
23488,978.6666666666666,17.40000000000282,15.000000000000675,17.629094694021482,2.0,-6036.623425111429,-1373.0627728534564,75.0,-7334.686197964886,18.02599555088633
23489,978.7083333333334,16.194095225514882,14.71058285412357,17.627923046027192,2.0,-17586.243123565884,-1502.987089199117,75.0,-19014.230212765,18.01868664707303
23490,978.75,14.900000000001464,14.40000000000035,17.62674893998322,2.0,-29939.39181188702,-1640.471280006281,75.0,-31504.8630918933,18.006576453212258
23491,978.7916666666666,13.605904774492338,14.08941714587816,17.625572376493572,2.0,-42246.44811571123,-1775.7788859914576,75.0,-43947.22700170269,18.0
23492,978.8333333333334,12.399999999999716,13.799999999999931,17.62439335616359,2.0,-53760.00000000273,-1904.0000000000312,75.0,-55589.00000000276,18.0
23493,978.875,11.364466094069613,13.551471862576706,17.623211879599815,2.0,-63701.12549693171,-2016.6660889652264,75.0,-65642.79158589694,18.0
