hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,Q_heat_demand_W
1693,70.54166666666667,10.265063509461097,6.557142857142858,8.816164166923857,0.0,-74255.39030917347,-5187.428571428572,0.0,-79442.81888060203,79442.81888060203
1694,70.58333333333333,10.51481456572267,6.557142857142858,8.816164166923857,0.0,-71857.78016906237,-5187.428571428572,0.0,-77045.20874049094,77045.20874049094
1695,70.625,10.6,6.557142857142858,8.816164166923857,0.0,-71040.0,-5187.428571428572,0.0,-76227.42857142857,76227.42857142857
1696,70.66666666666667,10.51481456572267,6.557142857142858,8.816164166923857,0.0,-71857.78016906237,-5187.428571428572,0.0,-77045.20874049094,77045.20874049094
1697,70.70833333333333,10.265063509461097,6.557142857142858,8.816164166923857,0.0,-74255.39030917347,-5187.428571428572,0.0,-79442.81888060203,79442.81888060203
1698,70.75,9.867766952966369,6.557142857142858,8.816164166923857,0.0,-78069.43725152286,-5187.428571428572,0.0,-83256.86582295143,83256.86582295143
1699,70.79166666666667,9.35,6.557142857142858,8.816164166923857,0.0,-83040.0,-5187.428571428572,0.0,-88227.42857142857,88227.42857142857
1700,70.83333333333333,8.747047612756301,6.557142857142858,8.816164166923857,0.0,-88828.34291753951,-5187.428571428572,0.0,-94015.77148896808,94015.77148896808
1701,70.875,8.1,6.557142857142858,8.816164166923857,0.0,-95040.0,-5187.428571428572,0.0,-100227.42857142857,100227.42857142857
1702,70.91666666666667,7.452952387243698,6.557142857142858,8.816164166923857,0.0,-101251.6570824605,-5187.428571428572,0.0,-106439.08565388907,106439.08565388907
1703,70.95833333333333,6.85,6.557142857142858,8.816164166923857,0.0,-107040.0,-5187.428571428572,0.0,-112227.42857142857,112227.42857142857
1704,71.0,5.571572875253809,7.007142857142857,8.869059468055847,0.0,-119312.90039756344,-4983.4285714285725,0.0,-124296.32896899202,124296.32896899202
1705,71.04166666666667,4.935898384862245,7.007142857142857,8.869059468055847,0.0,-125415.37550532244,-4983.4285714285725,0.0,-130398.80407675102,130398.80407675102
1706,71.08333333333333,4.5362966948437276,7.007142857142857,8.869059468055847,0.0,-129251.55172950022,-4983.4285714285725,0.0,-134234.9803009288,134234.9803009288
1707,71.125,4.4,7.007142857142857,8.869059468055847,0.0,-130560.0,-4983.4285714285725,0.0,-135543.42857142858,135543.42857142858
1708,71.16666666666667,4.5362966948437276,7.007142857142857,8.869059468055847,0.0,-129251.55172950022,-4983.4285714285725,0.0,-134234.9803009288,134234.9803009288
1709,71.20833333333333,4.935898384862245,7.007142857142857,8.869059468055847,0.0,-125415.37550532244,-4983.4285714285725,0.0,-130398.80407675102,130398.80407675102
1710,71.25,5.5715728752538105,7.007142857142857,8.869059468055847,0.0,-119312.90039756343,-4983.4285714285725,0.0,-124296.32896899199,124296.32896899199
1711,71.29166666666667,6.400000000000001,7.007142857142857,8.869059468055847,30.49314577723114,-111359.99999999999,-4983.4285714285725,30.49314577723114,-116312.93542565132,116312.93542565132
1712,71.33333333333333,7.364723819589917,7.007142857142857,8.869059468055847,58.90823406204999,-102098.6513319368,-4983.4285714285725,58.90823406204999,-107023.17166930332,107023.17166930332
